c3_haveskills_t0_starbeta,0.073***
c3_haveskills_t0_se, 0.024
c3_haveskills_t0_n,1796
c3_haveskills_t0_r2, 0.20
c3_haveskills_t1_p, 0.00
c3_haveskills_t1_beta, 0.079
c3_haveskills_t1_starbeta,0.079***
c3_haveskills_t1_se, 0.024
c3_haveskills_t1_n,1796
c3_haveskills_t1_r2, 0.20
c3_haveskills_test, 0.834
c1_wageprimjob_cmean,23.609
c1_wageprimjob_csd,98.024
c1_wageprimjob_t_p, 0.64
c1_wageprimjob_t_beta, 2.083
c1_wageprimjob_t_starbeta, 2.083
c1_wageprimjob_t_se, 4.413
c1_wageprimjob_t_n,1793
c1_wageprimjob_t_r2, 0.07
c1_wageprimjob_t0_p, 0.15
c1_wageprimjob_t0_beta, 8.644
c1_wageprimjob_t0_starbeta, 8.644
c1_wageprimjob_t0_se, 6.046
c1_wageprimjob_t0_n,1793
c1_wageprimjob_t0_r2, 0.07
c1_wageprimjob_t1_p, 0.31
c1_wageprimjob_t1_beta,-4.797
c1_wageprimjob_t1_starbeta,-4.797
c1_wageprimjob_t1_se, 4.714
c1_wageprimjob_t1_n,1793
c1_wageprimjob_t1_r2, 0.07
c1_wageprimjob_test, 0.036
total_employement_cmean,32.067
total_employement_csd,140.456
total_employement_t_p, 0.84
total_employement_t_beta, 1.233
total_employement_t_starbeta, 1.233
total_employement_t_se, 6.123
total_employement_t_n,1796
total_employement_t_r2, 0.07
total_employement_t0_p, 0.21
total_employement_t0_beta,10.628
total_employement_t0_starbeta,10.628
total_employement_t0_se, 8.386
total_employement_t0_n,1796
total_employement_t0_r2, 0.07
total_employement_t1_p, 0.18
total_employement_t1_beta,-8.580
total_employement_t1_starbeta,-8.580
total_employement_t1_se, 6.396
total_employement_t1_n,1796
total_employement_t1_r2, 0.07
total_employement_test, 0.027
c2_borrow_all_cmean,635.940
c2_borrow_all_csd,905.321
c2_borrow_all_t_p, 0.34
c2_borrow_all_t_beta,-38.906
c2_borrow_all_t_starbeta,-38.906
c2_borrow_all_t_se,40.890
c2_borrow_all_t_n,1737
c2_borrow_all_t_r2, 0.09
c2_borrow_all_t0_p, 0.31
c2_borrow_all_t0_beta,-49.481
c2_borrow_all_t0_starbeta,-49.481
c2_borrow_all_t0_se,48.817
c2_borrow_all_t0_n,1737
c2_borrow_all_t0_r2, 0.09
c2_borrow_all_t1_p, 0.74
c2_borrow_all_t1_beta,-16.805
c2_borrow_all_t1_starbeta,-16.805
c2_borrow_all_t1_se,50.421
c2_borrow_all_t1_n,1737
c2_borrow_all_t1_r2, 0.09
c2_borrow_all_test, 0.554
c2_borrow12_cmean, 0.306
c2_borrow12_csd, 0.461
c2_borrow12_t_p, 0.01
c2_borrow12_t_beta, 0.057
c2_borrow12_t_starbeta,0.057***
c2_borrow12_t_se, 0.021
c2_borrow12_t_n,1796
c2_borrow12_t_r2, 0.17
c2_borrow12_t0_p, 0.19
c2_borrow12_t0_beta, 0.032
c2_borrow12_t0_starbeta, 0.032
c2_borrow12_t0_se, 0.025
c2_borrow12_t0_n,1796
c2_borrow12_t0_r2, 0.17
c2_borrow12_t1_p, 0.00
c2_borrow12_t1_beta, 0.079
c2_borrow12_t1_starbeta,0.079***
c2_borrow12_t1_se, 0.026
c2_borrow12_t1_n,1796
c2_borrow12_t1_r2, 0.17
c2_borrow12_test, 0.114
c2_borrow12n_cmean,350.759
c2_borrow12n_csd,772.353
c2_borrow12n_t_p, 0.81
c2_borrow12n_t_beta, 7.933
c2_borrow12n_t_starbeta, 7.933
c2_borrow12n_t_se,33.592
c2_borrow12n_t_n,1796
c2_borrow12n_t_r2, 0.11
c2_borrow12n_t0_p, 0.80
c2_borrow12n_t0_beta,-9.930
c2_borrow12n_t0_starbeta,-9.930
c2_borrow12n_t0_se,39.972
c2_borrow12n_t0_n,1796
c2_borrow12n_t0_r2, 0.11
c2_borrow12n_t1_p, 0.55
c2_borrow12n_t1_beta,25.078
c2_borrow12n_t1_starbeta,25.078
c2_borrow12n_t1_se,41.700
c2_borrow12n_t1_n,1796
c2_borrow12n_t1_r2, 0.11
c2_borrow12n_test, 0.460
c2_repaiddebt_cmean, 0.382
c2_repaiddebt_csd, 0.634
c2_repaiddebt_t_p, 0.01
c2_repaiddebt_t_beta, 0.079
c2_repaiddebt_t_starbeta,0.079***
c2_repaiddebt_t_se, 0.029
c2_repaiddebt_t_n,1794
c2_repaiddebt_t_r2, 0.13
c2_repaiddebt_t0_p, 0.15
c2_repaiddebt_t0_beta, 0.050
c2_repaiddebt_t0_starbeta, 0.050
c2_repaiddebt_t0_se, 0.035
c2_repaiddebt_t0_n,1794
c2_repaiddebt_t0_r2, 0.14
c2_repaiddebt_t1_p, 0.00
c2_repaiddebt_t1_beta, 0.105
c2_repaiddebt_t1_starbeta,0.105***
c2_repaiddebt_t1_se, 0.037
c2_repaiddebt_t1_n,1794
c2_repaiddebt_t1_r2, 0.14
c2_repaiddebt_test, 0.194
c2_eliipsav_cmean, 0.007
c2_eliipsav_csd, 0.083
c2_eliipsav_t_p, 0.01
c2_eliipsav_t_beta, 0.014
c2_eliipsav_t_starbeta,0.014**
c2_eliipsav_t_se, 0.006
c2_eliipsav_t_n,1796
c2_eliipsav_t_r2, 0.03
c2_eliipsav_t0_p, 0.07
c2_eliipsav_t0_beta, 0.013
c2_eliipsav_t0_starbeta,0.013*
c2_eliipsav_t0_se, 0.007
c2_eliipsav_t0_n,1796
c2_eliipsav_t0_r2, 0.03
c2_eliipsav_t1_p, 0.03
c2_eliipsav_t1_beta, 0.015
c2_eliipsav_t1_starbeta,0.015**
c2_eliipsav_t1_se, 0.007
c2_eliipsav_t1_n,1796
c2_eliipsav_t1_r2, 0.03
c2_eliipsav_test, 0.758
c2_eliipsavn_cmean, 4.200
c2_eliipsavn_csd,63.202
c2_eliipsavn_t_p, 0.04
c2_eliipsavn_t_beta, 9.229
c2_eliipsavn_t_starbeta,9.229**
c2_eliipsavn_t_se, 4.502
c2_eliipsavn_t_n,1796
c2_eliipsavn_t_r2, 0.02
c2_eliipsavn_t0_p, 0.14
c2_eliipsavn_t0_beta, 8.454
c2_eliipsavn_t0_starbeta, 8.454
c2_eliipsavn_t0_se, 5.708
c2_eliipsavn_t0_n,1796
c2_eliipsavn_t0_r2, 0.02
c2_eliipsavn_t1_p, 0.08
c2_eliipsavn_t1_beta, 9.604
c2_eliipsavn_t1_starbeta,9.604*
c2_eliipsavn_t1_se, 5.482
c2_eliipsavn_t1_n,1796
c2_eliipsavn_t1_r2, 0.02
c2_eliipsavn_test, 0.866
c2_depositac_cmean, 0.045
c2_depositac_csd, 0.207
c2_depositac_t_p, 0.00
c2_depositac_t_beta, 0.082
c2_depositac_t_starbeta,0.082***
c2_depositac_t_se, 0.011
c2_depositac_t_n,1796
c2_depositac_t_r2, 0.34
c2_depositac_t0_p, 0.00
c2_depositac_t0_beta, 0.071
c2_depositac_t0_starbeta,0.071***
c2_depositac_t0_se, 0.014
c2_depositac_t0_n,1796
c2_depositac_t0_r2, 0.34
c2_depositac_t1_p, 0.00
c2_depositac_t1_beta, 0.093
c2_depositac_t1_starbeta,0.093***
c2_depositac_t1_se, 0.014
c2_depositac_t1_n,1796
c2_depositac_t1_r2, 0.34
c2_depositac_test, 0.223
c2_depositacn_cmean, 0.115
c2_depositacn_csd, 3.396
c2_depositacn_t_p, 0.02
c2_depositacn_t_beta, 2.871
c2_depositacn_t_starbeta,2.871**
c2_depositacn_t_se, 1.228
c2_depositacn_t_n,1789
c2_depositacn_t_r2, 0.02
c2_depositacn_t0_p, 0.06
c2_depositacn_t0_beta, 3.618
c2_depositacn_t0_starbeta,3.618*
c2_depositacn_t0_se, 1.944
c2_depositacn_t0_n,1789
c2_depositacn_t0_r2, 0.02
c2_depositacn_t1_p, 0.06
c2_depositacn_t1_beta, 2.025
c2_depositacn_t1_starbeta,2.025*
c2_depositacn_t1_se, 1.067
c2_depositacn_t1_n,1789
c2_depositacn_t1_r2, 0.02
c2_depositacn_test, 0.427
c2_loan_cmean, 0.012
c2_loan_csd, 0.107
c2_loan_t_p, 0.08
c2_loan_t_beta, 0.010
c2_loan_t_starbeta,0.010*
c2_loan_t_se, 0.006
c2_loan_t_n,1796
c2_loan_t_r2, 0.10
c2_loan_t0_p, 0.45
c2_loan_t0_beta, 0.005
c2_loan_t0_starbeta, 0.005
c2_loan_t0_se, 0.007
c2_loan_t0_n,1796
c2_loan_t0_r2, 0.10
c2_loan_t1_p, 0.07
c2_loan_t1_beta, 0.014
c2_loan_t1_starbeta,0.014*
c2_loan_t1_se, 0.008
c2_loan_t1_n,1796
c2_loan_t1_r2, 0.10
c2_loan_test, 0.343
x9_1_cmean, 0.726
x9_1_csd, 0.446
x9_1_t_p, 0.72
x9_1_t_beta,-0.006
x9_1_t_starbeta,-0.006
x9_1_t_se, 0.018
x9_1_t_n,1693
x9_1_t_r2, 0.37
x9_1_t0_p, 0.97
x9_1_t0_beta, 0.001
x9_1_t0_starbeta, 0.001
x9_1_t0_se, 0.021
x9_1_t0_n,1693
x9_1_t0_r2, 0.37
x9_1_t1_p, 0.67
x9_1_t1_beta,-0.009
x9_1_t1_starbeta,-0.009
x9_1_t1_se, 0.022
x9_1_t1_n,1693
x9_1_t1_r2, 0.37
x9_1_test, 0.677
x9_2_cmean, 0.755
x9_2_csd, 0.431
x9_2_t_p, 0.69
x9_2_t_beta, 0.007
x9_2_t_starbeta, 0.007
x9_2_t_se, 0.017
x9_2_t_n,1708
x9_2_t_r2, 0.34
x9_2_t0_p, 0.73
x9_2_t0_beta, 0.007
x9_2_t0_starbeta, 0.007
x9_2_t0_se, 0.020
x9_2_t0_n,1708
x9_2_t0_r2, 0.34
x9_2_t1_p, 0.66
x9_2_t1_beta, 0.010
x9_2_t1_starbeta, 0.010
x9_2_t1_se, 0.022
x9_2_t1_n,1708
x9_2_t1_r2, 0.34
x9_2_test, 0.907
x9_3_cmean, 0.788
x9_3_csd, 0.409
x9_3_t_p, 0.85
x9_3_t_beta,-0.003
x9_3_t_starbeta,-0.003
x9_3_t_se, 0.018
x9_3_t_n,1702
x9_3_t_r2, 0.23
x9_3_t0_p, 0.91
x9_3_t0_beta,-0.002
x9_3_t0_starbeta,-0.002
x9_3_t0_se, 0.021
x9_3_t0_n,1702
x9_3_t0_r2, 0.23
x9_3_t1_p, 0.94
x9_3_t1_beta,-0.002
x9_3_t1_starbeta,-0.002
x9_3_t1_se, 0.022
x9_3_t1_n,1702
x9_3_t1_r2, 0.23
x9_3_test, 0.971
x9_4_cmean, 0.688
x9_4_csd, 0.464
x9_4_t_p, 0.29
x9_4_t_beta,-0.020
x9_4_t_starbeta,-0.020
x9_4_t_se, 0.019
x9_4_t_n,1665
x9_4_t_r2, 0.35
x9_4_t0_p, 0.36
x9_4_t0_beta,-0.021
x9_4_t0_starbeta,-0.021
x9_4_t0_se, 0.023
x9_4_t0_n,1665
x9_4_t0_r2, 0.35
x9_4_t1_p, 0.42
x9_4_t1_beta,-0.019
x9_4_t1_starbeta,-0.019
x9_4_t1_se, 0.023
x9_4_t1_n,1665
x9_4_t1_r2, 0.35
x9_4_test, 0.935
x9_5_cmean, 0.685
x9_5_csd, 0.465
x9_5_t_p, 0.55
x9_5_t_beta,-0.011
x9_5_t_starbeta,-0.011
x9_5_t_se, 0.019
x9_5_t_n,1653
x9_5_t_r2, 0.36
x9_5_t0_p, 0.55
x9_5_t0_beta,-0.013
x9_5_t0_starbeta,-0.013
x9_5_t0_se, 0.022
x9_5_t0_n,1653
x9_5_t0_r2, 0.36
x9_5_t1_p, 0.70
x9_5_t1_beta,-0.009
x9_5_t1_starbeta,-0.009
x9_5_t1_se, 0.023
x9_5_t1_n,1653
x9_5_t1_r2, 0.36
x9_5_test, 0.870
x9_6_cmean, 0.804
x9_6_csd, 0.397
x9_6_t_p, 0.85
x9_6_t_beta, 0.003
x9_6_t_starbeta, 0.003
x9_6_t_se, 0.018
x9_6_t_n,1705
x9_6_t_r2, 0.18
x9_6_t0_p, 0.73
x9_6_t0_beta, 0.007
x9_6_t0_starbeta, 0.007
x9_6_t0_se, 0.021
x9_6_t0_n,1705
x9_6_t0_r2, 0.18
x9_6_t1_p, 0.94
x9_6_t1_beta, 0.002
x9_6_t1_starbeta, 0.002
x9_6_t1_se, 0.022
x9_6_t1_n,1705
x9_6_t1_r2, 0.18
x9_6_test, 0.816
x9_7_cmean, 0.773
x9_7_csd, 0.419
x9_7_t_p, 0.84
x9_7_t_beta, 0.004
x9_7_t_starbeta, 0.004
x9_7_t_se, 0.018
x9_7_t_n,1698
x9_7_t_r2, 0.22
x9_7_t0_p, 0.71
x9_7_t0_beta, 0.008
x9_7_t0_starbeta, 0.008
x9_7_t0_se, 0.022
x9_7_t0_n,1698
x9_7_t0_r2, 0.22
x9_7_t1_p, 0.88
x9_7_t1_beta, 0.003
x9_7_t1_starbeta, 0.003
x9_7_t1_se, 0.022
x9_7_t1_n,1698
x9_7_t1_r2, 0.22
x9_7_test, 0.847
x9_largepurchase_cmean, 0.714
x9_largepurchase_csd, 0.452
x9_largepurchase_t_p, 0.95
x9_largepurchase_t_beta,-0.001
x9_largepurchase_t_starbeta,-0.001
x9_largepurchase_t_se, 0.018
x9_largepurchase_t_n,1705
x9_largepurchase_t_r2, 0.33
x9_largepurchase_t0_p, 0.92
x9_largepurchase_t0_beta, 0.002
x9_largepurchase_t0_starbeta, 0.002
x9_largepurchase_t0_se, 0.022
x9_largepurchase_t0_n,1705
x9_largepurchase_t0_r2, 0.33
x9_largepurchase_t1_p, 0.84
x9_largepurchase_t1_beta,-0.005
x9_largepurchase_t1_starbeta,-0.005
x9_largepurchase_t1_se, 0.023
x9_largepurchase_t1_n,1705
x9_largepurchase_t1_r2, 0.33
x9_largepurchase_test, 0.792
x9_dailypurchase_cmean, 0.743
x9_dailypurchase_csd, 0.437
x9_dailypurchase_t_p, 0.18
x9_dailypurchase_t_beta, 0.024
x9_dailypurchase_t_starbeta, 0.024
x9_dailypurchase_t_se, 0.018
x9_dailypurchase_t_n,1710
x9_dailypurchase_t_r2, 0.28
x9_dailypurchase_t0_p, 0.10
x9_dailypurchase_t0_beta, 0.035
